RecallID,Title,RecallDate,LastPublishDate,Hazard,Manufacturer,InjuryCount,URL
10314,"AstroAI Recalls Minifridges Due to Fire and Burn Hazards; Two Resulted in More Than $360,000 in Reported Property Damages",2025-06-18T00:00:00,2025-06-18T00:00:00,"The recalled minifridges' electrical switch can short circuit, posing fire and burn hazards.",Shaoxing ShangYu North Electron Manufacture Co. Lt,1,https://www.cpsc.gov/Recalls/2025/AstroAI-Recalls-Minifridges-Due-to-Fire-and-Burn-Hazards-Two-Fires-Resulted-in-More-Than-360000-in-Reported-Property-Damages
10316,Crayan Mattresses Recalled Due to Risk of Serious Injury or Death from Fire Hazard ; Violation of Federal Standard for Mattress Flammability; Sold Exc,2025-06-18T00:00:00,2025-06-18T00:00:00,"The recalled mattresses fail to meet open flame flammability requirements in violation of federal safety standard for mattresses, posing a deadly fire",Unknown,1,https://www.cpsc.gov/Recalls/2025/Crayan-Mattresses-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Fire-Hazard-Violation-of-Federal-Standard-for-Mattress-Flammability-Sold-Exclusively-on-Amazon-by-Crayan
10318,MaxKare Electric Blankets Recalled Due to Burn and Fire Hazards; Manufactured by Yumo and Sold Exclusively on Walmart.com,2025-06-18T00:00:00,2025-06-18T00:00:00,"The recalled blankets can overheat and ignite, posing burn and fire hazards.","Shenzhen Yumo Commerce and Trade Corporation, of C",1,https://www.cpsc.gov/Recalls/2025/MaxKare-Electric-Blankets-Recalled-Due-to-Burn-and-Fire-Hazards-Manufactured-by-Yumo-and-Sold-Exclusively-on-Walmart-com
10315,Polaris Recalls Ranger XP Kinetic and Pro XD Kinetic Recreational Off-Highway Vehicles (ROVs) Due to Fire Hazard,2025-06-18T00:00:00,2025-06-18T00:00:00,"Water can leak through a cracked filter into the ROV's high-voltage charging harness components and cause a short circuit, posing a fire hazard.","Polaris Industries Inc., of Medina, Minnesota",1,https://www.cpsc.gov/Recalls/2025/Polaris-Recalls-Ranger-XP-Kinetic-and-Pro-XD-Kinetic-Recreational-Off-Highway-Vehicles-ROVs-Due-to-Fire-Hazard
10317,"TADAKAZU Baby Loungers Recalled Due to Risk of Serious Injury or Death from Suffocation, Fall and Entrapment Hazards; Violations of Federal Standard f",2025-06-18T00:00:00,2025-06-18T00:00:00,The recalled portable baby loungers violate the federal safety standards for Infant Sleep Products because the sides are shorter than the minimum side,Unknown,1,https://www.cpsc.gov/Recalls/2025/TADAKAZU-Baby-Loungers-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Suffocation-Fall-and-Entrapment-Hazards-Violations-of-Federal-Standard-for-Infant-Sleep-Products-Sold-on-Amazon
10313,YaFiti White Dressers Recalled Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Violations of Federal Standard for Clothin,2025-06-18T00:00:00,2025-06-18T00:00:00,"The recalled dressers are unstable if they are not anchored to the wall, posing serious tip-over and entrapment hazards that can result in injuries or","Shenzhen Leader-Union Technology Co. Ltd., of Chin",1,https://www.cpsc.gov/Recalls/2025/YaFiti-White-Dressers-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Tip-Over-and-Entrapment-Hazards-Violations-of-Federal-Standard-for-Clothing-Storage-Units-Sold-on-Amazon
10310,Agro Superior Group Recalls Oliver & Smith Mattresses Due to Risk of Serious Injury or Death from Fire Hazard; Violation of Federal Standard for Mattr,2025-06-12T00:00:00,2025-06-12T00:00:00,"The recalled mattresses violate mandatory flammability standards for mattresses, posing a fire hazard and risk of serious injury or death to consumers",Unknown,1,https://www.cpsc.gov/Recalls/2025/Agro-Superior-Group-Recalls-Oliver-Smith-Mattresses-Due-to-Risk-of-Serious-Injury-or-Death-from-Fire-Hazard-Violation-of-Federal-Standard-for-Mattress-Flammability
10309,Bugaboo North America Recalls Giraffe High Chairs Due to Risk of Serious Injury or Death from Fall Hazard,2025-06-12T00:00:00,2025-06-12T00:00:00,The highchairs pose a fall hazard and risk of serious injury or death to babies because the legs of the chair can detach from the frame if the screws ,Unknown,1,https://www.cpsc.gov/Recalls/2025/Bugaboo-North-America-Recalls-Giraffe-High-Chairs-Due-to-Risk-of-Serious-Injury-or-Death-from-Fall-Hazard
10312,Endless Pools Recalls Manual Retractable Pool Covers Due to Drowning and Entrapment Hazards; Risk of Serious Injury and Death,2025-06-12T00:00:00,2025-06-12T00:00:00,"The recalled pool covers can leave a gap of more than 4.5 inches between the cover roller and the pool surface, when installed incorrectly by the inst","Endless Pools, of Aston, Pennsylvania",1,https://www.cpsc.gov/Recalls/2025/Endless-Pools-Recalls-Manual-Retractable-Pool-Covers-Due-to-Drowning-and-Entrapment-Hazards-Risk-of-Serious-Injury-and-Death
10308,Mammut Sports Group Recalls Skywalker Pro Via Ferrata Sets Due to Risk of Serious Injury or Death from Fall Hazard,2025-06-12T00:00:00,2025-06-12T00:00:00,"The carabiner can be opened without engaging the safety latch, posing a risk of serious injury or death due to fall hazard.",Unknown,1,https://www.cpsc.gov/Recalls/2025/Mammut-Sports-Group-Recalls-Skywalker-Pro-Via-Ferrata-Sets-Due-to-Risk-of-Serious-Injury-or-Death-from-Fall-Hazard
